    LRGN[R-wheel]
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
               -2,            2,      1.88487,       46.9951,       22.2635,           1.65884,         -0.205946,      48.6539,      22.0576,     0.105001,    0.0476029
                2,            2,            0,             0,             0,                 0,                 0,            0,            0,            0,            0

    LRGN[F-wheel]
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
               -2,            2,       1.8882,       43.0262,      -29.2871,           1.45699,         -0.360923,      44.4832,      -29.648,    0.0960001,    -0.063984
                2,            2,            0,             0,             0,                 0,                 0,            0,            0,            0,            0

    LRGN[F-wing]
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
               -2,            2,      1.34112,       37.0231,       137.765,           1.87972,           -0.1422,      38.9028,      137.623,     0.083957,     0.297008
                2,            2,            0,             0,             0,                 0,                 0,            0,            0,            0,            0

    LRGN[SidePonToon]
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
               -2,            2,       4.1462,       16.1692,         159.5,           4.92558,         0.0464698,      21.0948,      159.547,    0.0455252,     0.344321
                2,            2,            0,             0,             0,                 0,                 0,            0,            0,            0,            0

    LRGN[R-wing]
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
               -2,            2,       2.4901,       83.3537,       276.416,           4.05351,         -0.806029,      87.4072,       275.61,     0.188635,       0.5948
                2,            2,            0,             0,             0,                 0,                 0,            0,            0,            0,            0

    LRGN[body]
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
               -2,            2,      6.30279,       267.362,       44.3177,            5.2323,         -0.426118,      272.594,      43.8916,     0.588291,    0.0947234
                2,            2,            0,             0,             0,                 0,                 0,            0,            0,            0,            0

