    LRGN[Rwing]
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
               -2,         -1.9,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -1.9,         -1.8,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -1.8,         -1.7,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -1.7,         -1.6,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -1.6,         -1.5,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -1.5,         -1.4,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -1.4,         -1.3,   0.00455844,     0.0294862,  -0.000381229,         0.0012239,       -0.00096053,    0.0307101,  -0.00134176,  0.000400323,-1.74906e-005
             -1.3,         -1.2,    0.0983729,      0.104184,    0.00526963,         0.0298909,        -0.0111709,     0.134074,  -0.00590124,   0.00174773,-7.69259e-005
             -1.2,         -1.1,     0.596535,       8.19376,       5.15657,          0.185161,          -0.13382,      8.37893,      5.02275,     0.109224,    0.0654743
             -1.1,           -1,     0.649537,       8.86102,       15.7997,          0.278611,        -0.0947443,      9.13963,       15.705,      0.11914,     0.204723
               -1,         -0.9,     0.418215,       2.39066,       13.1145,          0.161098,        -0.0182946,      2.55176,      13.0962,    0.0332636,     0.170716
             -0.9,         -0.8,     0.414811,     -0.331718,        14.123,          0.172614,        0.00513475,    -0.159104,      14.1281,  -0.00207401,     0.184168
             -0.8,         -0.7,     0.534952,      -2.39222,       12.1925,          0.160414,         0.0332329,      -2.2318,      12.2257,   -0.0290928,     0.159369
             -0.7,         -0.6,    0.0650715,      -0.24324,      0.623556,         0.0163177,         0.0105513,    -0.226923,     0.634107,  -0.00295806,   0.00826594
             -0.6,         -0.5,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -0.5,         -0.4,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -0.4,         -0.3,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -0.3,         -0.2,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -0.2,         -0.1,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -0.1, 6.38378e-016,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
     6.38378e-016,          0.1,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
              0.1,          0.2,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
              0.2,          0.3,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
              0.3,          0.4,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
              0.4,          0.5,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
              0.5,          0.6,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
              0.6,          0.7,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
              0.7,          0.8,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
              0.8,          0.9,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
              0.9,            1,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
                1,          1.1,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
              1.1,          1.2,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
              1.2,          1.3,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
              1.3,          1.4,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
              1.4,          1.5,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
              1.5,          1.6,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
              1.6,          1.7,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
              1.7,          1.8,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
