    LRGN[Fwheel]
            START,          END,         AREA,DRAG(PRESSURE),LIFT(PRESSURE),DRAG(SURF-STRESS),LIFT(SURF-STRESS),         DRAG,         LIFT,           CD,           CL
               -6,         -5.9,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -5.9,         -5.8,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -5.8,         -5.7,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -5.7,         -5.6,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -5.6,         -5.5,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -5.5,         -5.4,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -5.4,         -5.3,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -5.3,         -5.2,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -5.2,         -5.1,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -5.1,           -5,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
               -5,         -4.9,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -4.9,         -4.8,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -4.8,         -4.7,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -4.7,         -4.6,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -4.6,         -4.5,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -4.5,         -4.4,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -4.4,         -4.3,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -4.3,         -4.2,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -4.2,         -4.1,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -4.1,           -4,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
               -4,         -3.9,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -3.9,         -3.8,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -3.8,         -3.7,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -3.7,         -3.6,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -3.6,         -3.5,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -3.5,         -3.4,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -3.4,         -3.3,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -3.3,         -3.2,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -3.2,         -3.1,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -3.1,           -3,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
               -3,         -2.9,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -2.9,         -2.8,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -2.8,         -2.7,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -2.7,         -2.6,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -2.6,         -2.5,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -2.5,         -2.4,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -2.4,         -2.3,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -2.3,         -2.2,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -2.2,         -2.1,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -2.1,           -2,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
               -2,         -1.9,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -1.9,         -1.8,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -1.8,         -1.7,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -1.7,         -1.6,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -1.6,         -1.5,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -1.5,         -1.4,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -1.4,         -1.3,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -1.3,         -1.2,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -1.2,         -1.1,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -1.1,           -1,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
               -1,         -0.9,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -0.9,         -0.8,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -0.8,         -0.7,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -0.7,         -0.6,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -0.6,         -0.5,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -0.5,         -0.4,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -0.4,         -0.3,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -0.3,         -0.2,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -0.2,         -0.1,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
             -0.1,-4.57967e-015,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
    -4.57967e-015,          0.1,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
              0.1,          0.2,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
              0.2,          0.3,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
              0.3,          0.4,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
              0.4,          0.5,    0.0936599,      0.664989,    -0.0210123,        0.00226196,         0.0255996,     0.667251,   0.00458726,   0.00883704, 6.07535e-005
              0.5,          0.6,     0.285527,       1.57958,     -0.231592,         0.0256102,         0.0583819,      1.60519,     -0.17321,    0.0212591,  -0.00229398
              0.6,          0.7,     0.382415,      0.434195,     -0.444779,         0.0267925,         0.0251985,     0.460988,    -0.419581,    0.0061053,  -0.00555691
              0.7,          0.8,     0.362337,    -0.0681599,     -0.368454,         0.0535673,        -0.0146803,   -0.0145925,    -0.383135, -0.000193262,  -0.00507422
              0.8,          0.9,     0.371027,     0.0967031,      -1.41268,         0.0853222,        -0.0697216,     0.182025,      -1.4824,   0.00241073,   -0.0196329
              0.9,            1,     0.230356,       4.51043,     -0.338099,         0.0548569,         -0.104706,      4.56529,    -0.442805,    0.0604625,  -0.00586448
                1,          1.1,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
              1.1,          1.2,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
              1.2,          1.3,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
              1.3,          1.4,            0,             0,             0,                 0,                 0,            0,            0,            0,            0
